Minimum Error At:
AX12 Constant 152
dsPIC Constant 184


Other possible values with error less than 1%
----------------+-----------------+-----------
       AX12     |       dsPIC     |
  Speed   Value |   Speed  Value  |  Error (%)
----------------+-----------------+-----------
    10204  195  |    10160  237   |    0.43
    10152  196  |    10160  237   |    0.08
    10101  197  |    10160  237   |    0.59
    10204  195  |    10118  238   |    0.85
    10152  196  |    10118  238   |    0.34
    10101  197  |    10118  238   |    0.17
    10050  198  |    10118  238   |    0.68
    10152  196  |    10076  239   |    0.76
    10101  197  |    10076  239   |    0.25
    10050  198  |    10076  239   |    0.26
    10000  199  |    10076  239   |    0.76
    10101  197  |    10034  240   |    0.66
    10050  198  |    10034  240   |    0.16
    10000  199  |    10034  240   |    0.34
     9950  200  |    10034  240   |    0.85
    10050  198  |     9992  241   |    0.57
    10000  199  |     9992  241   |    0.07
     9950  200  |     9992  241   |    0.43
     9900  201  |     9992  241   |    0.93
    10050  198  |     9951  242   |    0.99
    10000  199  |     9951  242   |    0.48
     9950  200  |     9951  242   |    0.02
     9900  201  |     9951  242   |    0.51
    10000  199  |     9910  243   |    0.90
     9950  200  |     9910  243   |    0.40
     9900  201  |     9910  243   |    0.10
     9852  202  |     9910  243   |    0.60
     9950  200  |     9870  244   |    0.81
     9900  201  |     9870  244   |    0.31
     9852  202  |     9870  244   |    0.19
     9803  203  |     9870  244   |    0.68
     9900  201  |     9830  245   |    0.72
     9852  202  |     9830  245   |    0.22
     9803  203  |     9830  245   |    0.27
     9756  204  |     9830  245   |    0.76
     9852  202  |     9790  246   |    0.63
     9803  203  |     9790  246   |    0.14
     9756  204  |     9790  246   |    0.35
     9708  205  |     9790  246   |    0.84
     9803  203  |     9751  247   |    0.54
     9756  204  |     9751  247   |    0.05
     9708  205  |     9751  247   |    0.44
     9661  206  |     9751  247   |    0.92
     9803  203  |     9711  248   |    0.95
     9756  204  |     9711  248   |    0.45
     9708  205  |     9711  248   |    0.03
     9661  206  |     9711  248   |    0.52
     9756  204  |     9673  249   |    0.86
     9708  205  |     9673  249   |    0.37
     9661  206  |     9673  249   |    0.12
     9615  207  |     9673  249   |    0.60
     9708  205  |     9634  250   |    0.77
     9661  206  |     9634  250   |    0.28
     9615  207  |     9634  250   |    0.20
     9569  208  |     9634  250   |    0.68
     9661  206  |     9596  251   |    0.68
     9615  207  |     9596  251   |    0.20
     9569  208  |     9596  251   |    0.28
     9523  209  |     9596  251   |    0.76
     9615  207  |     9558  252   |    0.60
     9569  208  |     9558  252   |    0.11
     9523  209  |     9558  252   |    0.36
     9478  210  |     9558  252   |    0.84
     9615  207  |     9520  253   |    0.99
     9569  208  |     9520  253   |    0.51
     9523  209  |     9520  253   |    0.03
     9478  210  |     9520  253   |    0.44
     9433  211  |     9520  253   |    0.92
     9569  208  |     9483  254   |    0.91
     9523  209  |     9483  254   |    0.43
     9478  210  |     9483  254   |    0.05
     9433  211  |     9483  254   |    0.52
     9389  212  |     9483  254   |    1.00
     9523  209  |     9446  255   |    0.82
     9478  210  |     9446  255   |    0.34
     9433  211  |     9446  255   |    0.13
     9389  212  |     9446  255   |    0.60
